timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1659915568599,240,RetrieveUser,200,,Thread Group 1-4,text,true,,326,197,5,5,238,0,0
1659915569402,146,RetrieveUser,200,,Thread Group 1-3,text,true,,326,197,5,5,142,0,0
1659915569675,76,CreateUser,201,,Thread Group 1-5,text,true,,244,287,5,5,76,0,1
1659915569566,390,RetrieveUser,200,,Thread Group 1-1,text,true,,326,197,5,5,388,0,0
1659915570233,15,CreateUser,201,,Thread Group 1-2,text,true,,244,287,5,5,15,0,4
1659915570388,13,CreateUser,201,,Thread Group 1-4,text,true,,244,287,5,5,13,0,2
1659915570809,247,RetrieveUser,200,,Thread Group 1-5,text,true,,326,197,5,5,246,0,0
1659915571109,9,CreateUser,201,,Thread Group 1-3,text,true,,244,287,5,5,9,0,1
1659915571284,85,RetrieveUser,200,,Thread Group 1-2,text,true,,326,197,5,5,82,0,0
1659915571480,59,CreateUser,201,,Thread Group 1-1,text,true,,244,287,5,5,59,0,1
1659915571435,223,RetrieveUser,200,,Thread Group 1-4,text,true,,326,197,5,5,221,0,0
1659915572126,236,RetrieveUser,200,,Thread Group 1-3,text,true,,326,197,5,5,235,0,0
1659915572652,12,CreateUser,201,,Thread Group 1-5,text,true,,244,287,5,5,12,0,1
1659915572627,136,RetrieveUser,200,,Thread Group 1-1,text,true,,326,197,5,5,132,0,0
1659915572938,14,CreateUser,201,,Thread Group 1-2,text,true,,244,287,5,5,14,0,2
1659915573170,12,CreateUser,201,,Thread Group 1-4,text,true,,244,287,5,5,12,0,2
1659915573719,131,RetrieveUser,200,,Thread Group 1-5,text,true,,326,197,5,5,128,0,0
1659915573925,14,CreateUser,201,,Thread Group 1-3,text,true,,244,287,5,5,14,0,3
1659915573963,186,RetrieveUser,200,,Thread Group 1-2,text,true,,326,197,5,5,183,0,0
1659915574330,209,CreateUser,201,,Thread Group 1-1,text,true,,244,287,5,5,209,0,1
1659915574214,429,RetrieveUser,200,,Thread Group 1-4,text,true,,326,197,5,5,428,0,0
1659915574949,192,RetrieveUser,200,,Thread Group 1-3,text,true,,326,197,5,5,190,0,0
1659915575366,9,CreateUser,201,,Thread Group 1-5,text,true,,244,287,5,5,9,0,1
1659915575685,174,CreateUser,201,,Thread Group 1-2,text,true,,244,287,5,5,174,0,1
1659915575591,549,RetrieveUser,200,,Thread Group 1-1,text,true,,326,197,5,5,547,0,0
1659915576160,14,CreateUser,201,,Thread Group 1-4,text,true,,244,287,5,5,14,0,2
1659915576407,243,RetrieveUser,200,,Thread Group 1-5,text,true,,326,197,5,5,241,0,0
1659915576701,12,CreateUser,201,,Thread Group 1-3,text,true,,244,287,5,5,12,0,2
1659915576935,318,RetrieveUser,200,,Thread Group 1-2,text,true,,326,197,5,5,317,0,0
1659915577233,228,RetrieveUser,200,,Thread Group 1-4,text,true,,326,197,5,5,226,0,0
1659915577642,11,CreateUser,201,,Thread Group 1-1,text,true,,244,287,5,5,11,0,1
1659915577722,317,RetrieveUser,200,,Thread Group 1-3,text,true,,326,197,5,5,315,0,0
